,drug,condition,rating,duration,review_date,upvotes,review,username
52,Isotretinoin,Acne,1.0,Taken for 6 months to 1 year,"December 13, 2020",12,"Accutane (isotretinoin):Took Accutane when I was 14. Pretty sure it stunted my growth by closing my growth plates as I stopped growing during my treatment. I still have permanent dry eyes and brain fog and severe depression now 8 years later. It's not worth the gamble, I didn't even have the choice, I was just a kid that followed doctor's orders. Please ask yourself why you would want to give yourself or your loved one an extreme retinoid overdose. It causes widespread damage to the body that is permanent.",TDS
53,Isotretinoin,Acne,9.0,Taken for 1 to 6 months,"December 13, 2020",2,"Accutane (isotretinoin):I took accutane twice, once when I was 20 years old and again when I was around 35 years old for extremely bad cyst acne that was super painful. This is the only medication that worked, period. Prior I had taken retin-a, ton of antibiotics that hurt my stomach but did nothing for the acne and other drugs. The results from accutane were amazing, during my first month or 2 all my black heads fell out and all of the painful cyst acne stopped. It left me cyst acne free for 10 years until it came back again when I was 35. I started another regiment which cleared it up again I am now 44 and still for the most part acne free. I would take it again in a heart beat. Each time I take it the most severe side effects that occur for me is dry lips and skin, nothing else. This is cleared up with aquaphor skin moisturizer.",Anon
54,Isotretinoin,Acne,1.0,Taken for 1 to 6 months,"September 18, 2020",68,"Accutane (isotretinoin):I TOOK THIS POISON FOR 6 months and it completely RUINED MY HAIR FOR LIFE it changed my hair texture. I have thinning hair and it won’t grow long anymore. I have an itchy sensation on scalp due to hair loss and it torments me everyday. I can’t even look at myself in the mirror anymore, trust me I’d rather have acne than lose my hair. Now it’s made me more insecure. YOU'RE ROLLING THE DICE BECAUSE NOT EVERYONE GETS THESE SIDE EFFECTS IF ONLY I WOULD HAVE KNOW THIS MEDICATION COULD POTENTIALLY CAUSE BALDING I WOULD NEVER HAVE TAKEN IT. ",Anonymous
55,Isotretinoin,Acne,10.0,,"September 5, 2020",7,"Myorisan (isotretinoin):This is my sixth and last month of taking isotretinoin (40mg 2x/day at 145 lbs). From angry, red acne to faded marks, this drug has transformed my face.Side effects:- dry lips - you have to CONSTANTLY have your lips covered in a layer of chapstick or vaseline (specifically for lips). Otherwise, your lips will immediately begin to peel and crack. If you're covered, you should be 100% fine. - dry eyes - after the second month, I would wake up 99% of the time with my eyes shut together. No crust or goop or anything like that. Just the rims of my eyelids shut together and it sometimes would make them a little sore when I'd take my fingers to force them open. - nosebleeds - out of the blue, I have woken up coughing up blood from a nosebleed draining to the back of my throat. Usually they would occur when I blow my nose or some minor impact to my nose. Usually occurs every couple of weeks.",Tina
56,Isotretinoin,Acne,2.0,Taken for 6 months to 1 year,"August 25, 2020",46,"Accutane (isotretinoin):There is no doubt this drug Accutane works initially but the long-term side affects and long-term success are definitely questionable. I took accutane for 6 months and yes it cleared my skin completely but at what cost? My skin was pink/red, dry & extremely sensitive to sunlight. 12 months after I came off accutane my acne returned exactly as it was before. Not only that but I now suffer from rosacea, I cannot tan especially on my face, I have a red face all the time & I blush when drinking. I never had severe acne and honestly wish I had never taken this medication as the side-effects are worse than the initial acne. Give it some serious though and please only take if you have severe acne.",JDOE
57,Isotretinoin,Acne,10.0,Taken for 6 months to 1 year,"August 22, 2020",18,"Claravis (isotretinoin):A month after finishing claravis, it was hard to imagine that I had giant red spots on my face for 3 years straight even when I tried every topical in the pharmacy. My face feels so smooth, I keep expecting new break outs, but it just never happens. My social and emotional stresses have noticeably lessened and it was all thanks to this. It's so worth the 6 months of chap lips (just use vaseline and a hydrating cleanse to mediate the dryness). Miracle drug, you'll be glad u took it!!",Pat
58,Isotretinoin,Acne,3.0,Taken for 1 to 6 months,"August 22, 2020",21,"Accutane (isotretinoin):I took this horrible drug 35 years ago and still have dry, red eyes.I have virtually no oil left in my skin so wrinkles come quick.I'd give anything to have normal eyes.",Dryeyes
59,Isotretinoin,Acne,,,"August 21, 2020",4,"My acne was pretty bad, taking this isotretinoin medication was live saving for me but after 2 years treatment I stopped it and my acne are back in same places.Feeling disappointing!",Anonymous
60,Isotretinoin,Acne,1.0,Taken for 6 months to 1 year,"August 21, 2020",16,"Accutane (isotretinoin):DO NOT TOUCH THIS STUFF.   It gets rid of acne but the side effects are HORRENDOUS.  It has given me permanent dry eyes, permanent dry skin, and permanent insomnia.",John
61,Isotretinoin,Acne,9.0,Taken for 1 to 6 months,"August 7, 2020",50,"Accutane (isotretinoin):I was on Accutane for 6 months at 80mg/day. I finished about 8 months ago and my skin is still very clear. The ""it gets worse before it gets better"" line is very true. My skin was bad for the first three months I was on Accutane but then slowly improved the last three months. My worst side effects were lower back pain, dry skin, and dry eyes. These side effects went away after I finished. I highly recommend taking Accutane. Although it is hard having your skin be bad for a couple months straight, it is definitely worth it. One thing they don't really tell you about is the blood work and pregnancy test you have to do once a month before getting your new packet for that month. This was kind of annoying but if everything checks out in the first couple of months you don't have to keep doing it.",Grace
62,Isotretinoin,Acne,10.0,Taken for 1 to 6 months,"June 30, 2020",6,"Myorisan (isotretinoin):I had a very bad cystic acne for years tried a lot of things just to cure those big painful cystic acne that affects my self esteem, thought that there is no way for me to cure them. Until my dermatologist prescribe me the myorisan accutane, took it for 6 months. The first 2 months was bad,  big bumps keep appearing, dry skin and joint pains, but it was worth it I finished my medications for 5 months now no acne or pimples appearing.  I'm very happy with the outcome. I will recommend  accutane, it really works.",lizzi
